ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
219156_at	2.91e-02	4.44e-03	-2.8584967	-2.495395	-0.26584845	SYNJ2BP-COX16///SYNJ2BP	SYNJ2BP-COX16 readthrough///synaptojanin 2 binding protein
204524_at	2.91e-02	4.44e-03	-2.8584877	-2.49542	-0.22002951	LOC101060747///PDPK1	3-phosphoinositide-dependent protein kinase 1-like///3-phosphoinositide dependent protein kinase 1
216541_x_at	2.91e-02	4.44e-03	2.8584817	-2.495436	0.55553915	IGHM///IGHG1	immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)
202630_at	2.91e-02	4.44e-03	-2.8580627	-2.496587	-0.30095395	APPBP2	amyloid beta precursor protein binding protein 2
213312_at	2.92e-02	4.45e-03	2.8576452	-2.497734	0.33923246	SMIM8	small integral membrane protein 8
216984_x_at	2.92e-02	4.45e-03	2.8572846	-2.498725	0.72752327	IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1	immunoglobulin lambda joining 3///immunoglobulin lambda variable 1-44///cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1
212529_at	2.92e-02	4.46e-03	2.8570586	-2.499346	0.3946655	LSM12	LSM12 homolog
222154_s_at	2.92e-02	4.47e-03	2.8564598	-2.500991	0.29833093	SPATS2L	spermatogenesis associated serine rich 2 like
210879_s_at	2.93e-02	4.47e-03	-2.8560127	-2.502218	-0.13980008	RAB11FIP5	RAB11 family interacting protein 5
210021_s_at	2.93e-02	4.48e-03	-2.8554065	-2.503883	-0.37548542	CCNO	cyclin O
212995_x_at	2.93e-02	4.48e-03	-2.8552991	-2.504178	-0.22875133	MZT2A///MZT2B///PHGDH	mitotic spindle organizing protein 2A///mitotic spindle organizing protein 2B///phosphoglycerate dehydrogenase
219687_at	2.93e-02	4.49e-03	-2.8546242	-2.50603	-0.3640851	HHAT	hedgehog acyltransferase
210130_s_at	2.93e-02	4.49e-03	-2.8545597	-2.506207	-0.40410468	TM7SF2	transmembrane 7 superfamily member 2
221776_s_at	2.93e-02	4.49e-03	2.8543964	-2.506655	0.21045273	BRD7	bromodomain containing 7
201225_s_at	2.93e-02	4.49e-03	2.8543762	-2.506711	0.13037574	SRRM1	serine and arginine repetitive matrix 1
212343_at	2.93e-02	4.49e-03	-2.8543728	-2.50672	-0.43116356	YIPF6	Yip1 domain family member 6
202046_s_at	2.93e-02	4.50e-03	-2.854331	-2.506835	-0.19397244	ARHGAP35	Rho GTPase activating protein 35
216836_s_at	2.93e-02	4.50e-03	-2.8543216	-2.50686	-0.31673284	ERBB2	erb-b2 receptor tyrosine kinase 2
201344_at	2.94e-02	4.50e-03	-2.8538537	-2.508144	-0.15734565	UBE2D2	ubiquitin conjugating enzyme E2 D2
220834_at	2.94e-02	4.51e-03	-2.8535918	-2.508863	-0.35779201	MS4A12	membrane spanning 4-domains A12
219112_at	2.94e-02	4.51e-03	-2.8534899	-2.509143	-0.25044281	RAPGEF6	Rap guanine nucleotide exchange factor 6
219491_at	2.94e-02	4.51e-03	2.853411	-2.509359	0.56159822	LRFN4	leucine rich repeat and fibronectin type III domain containing 4
203177_x_at	2.94e-02	4.51e-03	2.8532103	-2.50991	0.21489888	TFAM	transcription factor A, mitochondrial
202047_s_at	2.94e-02	4.51e-03	-2.8529854	-2.510527	-0.19377791	CBX6	chromobox 6
207937_x_at	2.94e-02	4.52e-03	-2.8529068	-2.510742	-0.18285744	FGFR1	fibroblast growth factor receptor 1
210127_at	2.96e-02	4.55e-03	2.8507818	-2.516569	0.38694628	RAB6B	RAB6B, member RAS oncogene family
AFFX-HUMGAPDH/M33197_3_at	2.96e-02	4.55e-03	2.8504079	-2.517594	0.17096064	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
203354_s_at	2.97e-02	4.56e-03	-2.8498823	-2.519034	-0.57786355	PSD3	pleckstrin and Sec7 domain containing 3
209331_s_at	2.98e-02	4.58e-03	-2.8485456	-2.522696	-0.16379827	MAX	MYC associated factor X
214011_s_at	2.98e-02	4.58e-03	2.8483481	-2.523237	0.26619378	NOP16	NOP16 nucleolar protein
208696_at	2.98e-02	4.59e-03	2.8479229	-2.524401	0.20547532	CCT5	chaperonin containing TCP1 subunit 5
205309_at	2.98e-02	4.59e-03	2.8478122	-2.524705	0.50408556	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B
212753_at	2.99e-02	4.60e-03	-2.8472061	-2.526364	-0.17186189	PCGF3	polycomb group ring finger 3
201918_at	2.99e-02	4.60e-03	2.8466431	-2.527905	0.18486058	SLC25A36	solute carrier family 25 member 36
215046_at	3.00e-02	4.61e-03	2.8459737	-2.529737	0.38292372	KANSL1L	KAT8 regulatory NSL complex subunit 1 like
219223_at	3.00e-02	4.61e-03	-2.8459162	-2.529895	-0.19789766	CACFD1	calcium channel flower domain containing 1
201911_s_at	3.00e-02	4.62e-03	2.8455095	-2.531007	0.34253142	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
219602_s_at	3.00e-02	4.63e-03	-2.8449816	-2.532452	-0.35167147	PIEZO2	piezo type mechanosensitive ion channel component 2
206876_at	3.00e-02	4.63e-03	2.84488	-2.53273	0.45812074	SIM1	single-minded family bHLH transcription factor 1
200747_s_at	3.00e-02	4.63e-03	-2.8448739	-2.532746	-0.26708162	NUMA1	nuclear mitotic apparatus protein 1
220280_s_at	3.00e-02	4.63e-03	-2.8447077	-2.533201	-0.43346895	ANKMY1	ankyrin repeat and MYND domain containing 1
221156_x_at	3.00e-02	4.63e-03	-2.8445274	-2.533694	-0.32668284	CCPG1	cell cycle progression 1
202119_s_at	3.00e-02	4.63e-03	-2.844498	-2.533775	-0.19873404	CPNE3	copine 3
